ad,title,link,price,rating,reviews,extensions,thumbnails
From Travelocity.com,Extended Stay America - Elizabeth - Newark Airport,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CCoQyvcEahcKEwiQ2uXD2-j-AhUAAAAAHQAAAAAQRQ&ictx=3&hl=en-US&qs=Mr8BQ2dzSTlZUy00X3FrOUtmREFSQUJHbjVCU1VJMGFWUmthbVpMWlVnMlIzcGZObXA0VDNGTVIwZHNhME01VjJoYVMyY3RaR2RyYTA1eGNDMDFkekpFWkZRd1lUUlhNVXhLYzJrd1VWQmtUV1Y1UzBaSFVsazRkSEJpTkRkVFZHMU1ObUoxTFdWdGNIaFlUSEJZZVVSelUwUk5MVFpZVlRoVVZGVnBkMWRPVVhoSGFFUmtNVnBzYlhGSGRYSnNlbWM4DQ,$126,3.3,871.0,"['2-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Restaurant', 'Kitchen in some rooms', 'Airport shuttle']","['https://lh5.googleusercontent.com/p/AF1QipMYEcRCPzTAAnzUt6nng1nOLE-QIsQige22_T1z=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipM-meUAqdWyblZ601YpktgAlLPgcaK586L17xSO=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNxLxtVoAlsRGQMmqmBFOQ5qOGz4R7GdFrToUex=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPTzZtuO6WEz2RRI89g5gER3evz9-LVZvaq3f77=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMmmpVB9C8Dq1A1-RVBfT-feuAxtU909M3cbhAm=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMhuZyRmKajOFV_DPcNvNCHFDxFq7WV6kZkWr4F=w592-h404-n-k-no-v1']"
From Expedia.com,Best Western Plus Newark Airport West,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CEAQyvcEahcKEwiQ2uXD2-j-AhUAAAAAHQAAAAAQRQ&ictx=3&hl=en-US&qs=MroBQ2dvSWs1MjV4Y2VJaGNKcUVBRWFlMEZKUWpScFZHWXpNVkJOTkUxd1JGOHlSamc1V1dGTlZFdDVXbHBYUkRWM1lVTnpSVGQ2YjFweFJGcHdNMHhhUldWQ1VHd3pWVGxxWldSV2VEUlpUWFp6UjJJelRGQkhjR3MxV2w5dVVtVjNSVXBJVkZoSllWaFJSVkZIZGsxbk9XSTNOalJyY1RGSE5WSlVXRGRtTVdsd1NHUlFZelZtZW5RdGN3OA0,$171,3.8,1662.0,"['3-star hotel', 'Breakfast ($)', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Fitness center', 'Restaurant', 'Airport shuttle', 'Golf']","['https://lh5.googleusercontent.com/p/AF1QipMo7J-KZ8LtoLUZFI9jJpZ3Ktyq0QA7AELgAvgm=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNh6EEvKys2ZLUMENgE-UNKphIolF-9LKEtyAkA=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNcVXyOcik2CHGCU1RcOeRkaqythadbl5wbXUzf=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPBLyyoFPEZDN7x2e9sXQ_b8cJZ_H2oXTfZkmNK=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipODSkRT98idj-mGVDl2rXjSToDE5UGqSYX2tVa9=w592-h404-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/9XlJfksjKoi-1Ghu3C9sv8uxlMTVpa9QBwOJ0Vv-aTXVml_DK8S9BV0R6TIvaKFWWsyOB9mlZiVbtDx1o4vJXzjWi-IpPUjfG0PuFkYroDLFSbKnJvaHgnScd41MFSFPzmUugv0DQVN2JDMipgfg-9ovcHE3FuI=w592-h404-n-k-no-v1']"
,Hampton Inn & Suites Newark-Harrison-Riverwalk,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CFYQyvcEahcKEwiQ2uXD2-j-AhUAAAAAHQAAAAAQRQ&ictx=3&hl=en-US&qs=MiZDaGdJd0s2SndlS24tNzdlQVJvTEwyY3ZNWFJrZUd4emNXMFFBUTgN,$161,3.7,1696.0,"['3-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Free parking', 'Indoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness center', 'Kitchen in rooms']","['https://lh3.googleusercontent.com/proxy/P_NZ5iLZar3QwIrunO7t3LFouPimWpAPIrjhYETfW6DMS_gOiugOheR0O7VBjldTcJjF5isOZ57sDwGSQuwY4_-jcXRWsAdEQDrdvK1NGlbUmMEbEpbEr5VBv0g7qL58P8YBXV2Fn8KGc914aZb61ztWP6ZZsUg=w296-h202-n-k-no-v1', 'https://lh3.googleusercontent.com/proxy/VmvctDltmdhwT9B_Juh2qVGqGX3ZHtT2wR_9wCrBAN5q3pR545Id760wRRq5nqR0L0GquM0Z7bnDR7oAKl_636a-yyGJ0H611-DRSGY-kEya3OYeEt4EF_0FieaU93vs7UGHd2MsaGqcsY7K_h_l2QlHUXSGOg=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipONZKCtdQ9D731ZGPAJCk0BfzX7YVj5W8zPchrg=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMQTJKK9Bgl_xdi7-y1SKQXVvOCL3ykqHy1BoQk=w296-h202-n-k-no-v1', 'https://lh3.googleusercontent.com/proxy/U7KEsQLWG-zxAs32jnZowmkGXFeWSxBpIte-YPq8xFnJCBu3bL2DkJKq2eqTmXbu-YiFaQYxbg1J0izFC6Cz6xJ8iB0rQCyWaP7q8hnUTeK2n2MTSl8pAY27gZvUekuWF0iKKefPOTgV0JZcZgCkB8eaCF8zu7I=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOzAGxdykO7_0RXKMjK58buOdIfu_TF0rQLb3io=w296-h202-n-k-no-v1']"
,Courtyard by Marriott Newark Liberty International Airport,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CHQQyvcEahcKEwiQ2uXD2-j-AhUAAAAAHQAAAAAQRQ&ictx=3&hl=en-US&qs=MiRDaGNJNl9XT3RfYU8yc1M4QVJvS0wyMHZNSGR4YTJkNGRCQUI4DQ,$149,4.0,890.0,"['3-star hotel', 'Breakfast ($)', 'Free Wi-Fi', 'Parking', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Pet-friendly', 'Fitness center']","['https://lh4.googleusercontent.com/proxy/mkgR0WItQk_d-DG1SrAZMXaEu8hgs5U_RYX1-M2BuSuNi2EJWn6DsE_Gd3Xu7mMywXDGcj5dvI3MoiGQD1_wxlRIYN-sD0cgp6j7WJLbaAaX68Tq8Ez_W9BvWTiooeTbuLuOoYg5icPD9uUIqMGaMec-DjOsTA=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/proxy/FFlFl3VO-b3fSYYRIoCGh0_I5kap5HzGm-2o6NzfTpcpHcyOpuQbUTSzIcnHQqiM1Fr_8zOO7vbQmh8qp3QEAXy_5SCxoFiN38fu8wK7VJDseeVT--p5DN5OwMwiqN6l4JuqK-T11_3OzQdfbyPWeKLOghBPnA=w296-h202-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/JBejH5aMZs_x1PUSFwJVGh_aHgMFvbKXe105lggApVSPuAv4Ix2EnTV1YSVozOGqpVv4OslrezN52TdbP9KsMxm-G6iokbeMPRrg9t4CF-HohTWxOX7LBffaoBSsgBZOehjrlM7VFppFKKj4oFxXbk7gosWvKQ=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPfp85lcyLmAvBKfBwQmVLcWdwqrfv9h9ivtd0t=w296-h202-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/Kcxm0mPmDQOhNHHHhYY5fYCZgWKHLMlppI74gpg092K8GmsftDA2UjwZVZdHAEY9P3ydxuz-WGc8Tno5CEdzApdBacps9KR8KBuK9it6Nrx4j0Ghv5zGwgmrYn6Sp9m8r1TPi1S03AZw5B4HSlFG2fwDmM5j8g=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNXYn4AoQAoJTxx7dRoaXjxUPcRbl9XpwxmKsxX=w296-h202-n-k-no-v1']"
,Mojoy Homesuites At Runyon,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CI4BEMr3BGoXChMIkNrlw9vo_gIVAAAAAB0AAAAAEEU&ictx=3&hl=en-US&qs=MidDaGtJci1UX3k5R0I0WUpGR2cwdlp5OHhNV1l3TkdNeGVIaHFFQUU4DQ,$65,3.4,123.0,"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Kid-friendly']","['https://lh5.googleusercontent.com/p/AF1QipO6sW4XtRrl07qclQjOsEP3yNrlKYxIHzt72Hio=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPf5CweXe2Y5l8JkSWoozIzgNni-gO1askCXA7i=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPDjoDjWZ7aEhGlLTtfn-yi_aOxVw3Z8gdJhD9v=w296-h202-n-k-no-v1', 'https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DouVWpxAOmmRVNtQke17rQ&cb_client=search.estubs.gps&w=296&h=202&yaw=183.49957&pitch=0&thumbfov=100', 'https://lh5.googleusercontent.com/p/AF1QipP0g9HHsZwwxw35pAnjI43kgVk5wNEZUsVgxi3Z=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipM6eHtYahW4oAqCC4X0idZQeLKuOOZ95K5SRnXP=w296-h202-n-k-no-v1']"
,Home2 Suites by Hilton Newark Airport,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CKQBEMr3BGoXChMIkNrlw9vo_gIVAAAAAB0AAAAAEEU&ictx=3&hl=en-US&qs=MihDaG9JalpiYm1QdjBtb0cxQVJvTkwyY3ZNVEZtWkROeGMyUXhjUkFCOA0,$209,3.6,825.0,"['3-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Indoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness center', 'Bar']",[]
,Ritzy Downtown Studio Apt FREE PARKING,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CLEBEMr3BGoXChMIkNrlw9vo_gIVAAAAAB0AAAAAEEU&ictx=3&hl=en-US&qs=MihDaG9RcjVlY3U5ZWoxNG04QVJvTkwyY3ZNVEZ6WkhkNWNtZHpkeEFDOA0,$254,,,"['Apartment', 'Sleeps 3', '1 bedroom', '1 bathroom', '1 bed', 'Air conditioning', 'Balcony', 'Elevator', 'Heating']","['https://lh3.googleusercontent.com/proxy/_Co7IWE_iVZqbhtVkx94LbJwxj9Q5dBPk8nsYFsfFe4Ms9OqrUsQ1QZ47XUXPUN_vVy55rRZ5GEnGxBB_u82do7naCrtTFnmR0IAAfX6mphxbvcwwwsnpx-uBZ8G840rk-KbRjEUKYomgbuPjKPthX2yo8w3C4U=w592-h404-n-k-no-v1', 'https://lh3.googleusercontent.com/proxy/G8TFLkaN_cI8IHHQ4HqbsgzX-665725mvXVKSDdZpFXhJCWmxtpxC8wQf7LWrWe9ZHO6L_2cJsclqiwiTYKUkWLj3wErjHwWnYmQYvla_PNsIZwW3qMncXWTs9DUCIhI1so2mJHA8aXrfmDn-9y2EWd4xffaUg=w592-h404-n-k-no-v1', 'https://lh5.googleusercontent.com/proxy/5PA48OzzL39iG__4-tCdLHlJBIad13w8mK5AeM09Mltt8Gk-chDz8-fSfPjaik3iui3GxAgBIz39gU3owX6CFsUED3qV39H9nVoB2Eg4oqYle33ZR0wWXAMwAiCxbjzBa5ni7ccE6pLfd0o5mV4uUpPqFTdZtg=w592-h404-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/CtQJYzajPfeFqf9Xts5J7oPs6AozPRoK80vzGE7VUqfvYUlV4b1gcRUzIDdTnQYcBTydBCjCMFh8HmdhVI7veWshIIguQDnkwQlSa-yduViNyeuDScoWaObw-4MkOwW6OWsmazPo7mFeOBwuiqye08n8LtLJrQ=w592-h404-n-k-no-v1', 'https://lh4.googleusercontent.com/proxy/NegHnsknS3G7slaoayBTmHmKqhyrEyvRlYcFGP0-c4EymSnQig4LBh6pM_catrXMq_xBG8gENBj0koxEx39M5Lqnl6MFpr_4M7zT8viLA8qgSYJvH_nGvzxityGPOTFgoidpGGdzSStnhOh4wL4XGIgdnB1woLU=w592-h404-n-k-no-v1', 'https://lh3.googleusercontent.com/proxy/cmK03rKhliCxwCudWRhL-w8GqbOSGe0ZSucbX12QzuBDv792d4lmFa-XAlhkPNiMGktD_oV-ouUfd7VnLy7pKTwtgmD85s9JuOB-nAQ0gySFXQDeJge7Kh_gIX86OqGrnbpwhFFAWwmcp7AoxOHNV7LdQcvYY3A=w592-h404-n-k-no-v1']"
,WoodSpring Suites Linden,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CMYBEMr3BGoXChMIkNrlw9vo_gIVAAAAAB0AAAAAEEU&ictx=3&hl=en-US&qs=MihDaG9JeE1iTjBzLXd0b2VtQVJvTkwyY3ZNVEZvT0hGM1lqUTVheEFCOA0,$94,3.2,167.0,"['1-star hotel', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Pet-friendly', 'Breakfast', 'Kitchen in some rooms', 'Accessible', 'Smoke-free property']","['https://lh5.googleusercontent.com/p/AF1QipNUsC8nm4SS-O13CuuBCTvj8IWLfb3g_CRlXVG4=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPwwixbQCRI0Lkv9tXx1ESKKvBztaXa-kH36w8G=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPCEi33OnydgCJIAFsGhYbdsXj3VeNevmFnRoar=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNXk9HDtDCsJxU5E9I2Pl0qqE3X5XUuTmPMhw2W=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNC0HWCoSXFs3R0NBQqRCfC4OqXjN70xb2U5vbP=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNVaPF4HjNgCMb_G1qD3Cw02iJSVyXgOBNmzPxR=w296-h202-n-k-no-v1']"
,SpringHill Suites by Marriott Newark Liberty International Airport,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0COABEMr3BGoXChMIkNrlw9vo_gIVAAAAAB0AAAAAEEU&ictx=3&hl=en-US&qs=MiZDaGdJLTg2bnY0M005OWpHQVJvTEwyY3ZNWFJyTm5JMmVuZ1FBUTgN,$182,4.0,1848.0,"['3-star hotel', 'Free breakfast', 'Free Wi-Fi', 'Parking ($)', 'Indoor pool', 'Hot tub', 'Air conditioning', 'Fitness center', 'Airport shuttle']","['https://lh3.googleusercontent.com/proxy/ZP5M8GqHdv11K3g3RK_OGjVSNwZtL2svvlcvaPKUrSMeciVeLRjTv0u_6jv8H-gxPutSeJpJKcfvd3JQbkmc7hsNMHyNaorFfifBDSN4EMcWRy4Tu2vCfy7BXYzQvAQ0DgxRyEY_Ip70aSzlg1xGgzc3bSPVBA=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipP0e1wi4eoMLaEwv5l3k0Rozu5OegUxuJ1cOk3h=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipOQyd5zqtTVhJlZac1VXwrnSvpKdoophcYvS8kW=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNN8IyAV4T8IrtQQoV4X1NRTt9FcMJ7AQ0SysFE=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMhDQIOs524LCa3B2Gc1605iJoWt1wajkWMQvhZ=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipMMhfwJpZkWrW_VsInhxa5oJQIbSzdPuvnDe75G=w296-h202-n-k-no-v1']"
,DoubleTree by Hilton Newark Airport,https://www.google.com/travel/search?ts=CAESCgoCCAMKAggDEAAaMgoUEhIKCC9tLzBocHRtOgZOZXdhcmsSGhIUCgcI5w8QBRgTEgcI5w8QBRgeGAsyAggBKgcKBToDVVNE&ved=0CPYBEMr3BGoXChMIkNrlw9vo_gIVAAAAAB0AAAAAEEU&ictx=3&hl=en-US&qs=MiRDaGNJaE1hbXV1TG16NzBCR2dzdlp5OHhkR3R0Ym1kblloQUI4DQ,$240,3.8,4426.0,"['3-star hotel', 'Breakfast ($)', 'Free Wi-Fi', 'Parking', 'Indoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness center', 'Bar']","['https://lh5.googleusercontent.com/p/AF1QipOphFCNdnsVY3pDV8VaPMFGFBFErUA_kjwhEjOz=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipN-6Amtm6QvjXIYXC7JNae9NyV51l5AwsJ53Mye=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNyQt19ab55ywDniLeIujuHZND94awMdnFu48A_=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipPePvB3lj6PowPe0ptgsHOGTBckGkS75ZFmT2E6=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNlNSAPC6aoyEKgSZtNIPZWK46Y5PgUtTPZycPw=w296-h202-n-k-no-v1', 'https://lh5.googleusercontent.com/p/AF1QipNg3WmLHJw48n0me4ZwC72LUo-zpKFvaY8LUvZV=w296-h202-n-k-no-v1']"
