departure_date,arrival_date,company,duration,stops,emissions,emission_comparison,price,price_type,flight_link,departure_airport,arrival_airport
6:41 PM,5:44 AM+1,United,8 hr 3 min,1 stop,256 kg CO2,Avg emissions,$486,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:30 AM,6:28 PM,United,8 hr 58 min,1 stop,324 kg CO2,+29% emissions,$491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:30 AM,7:30 PM,United,10 hr,1 stop,476 kg CO2,+90% emissions,$491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:30 AM,8:56 PM,United,11 hr 26 min,1 stop,395 kg CO2,+57% emissions,$491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
5:08 PM,5:23 AM+1,United,9 hr 15 min,1 stop,378 kg CO2,+51% emissions,$491,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
12:04 PM,8:38 PM,United,5 hr 34 min,Nonstop,239 kg CO2,Avg emissions,$492,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
11:59 PM,10:20 AM+1,United,7 hr 21 min,1 stop,226 kg CO2,-10% emissions,$498,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
8:11 PM,5:55 PM+1,"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreFrontier, Spirit",18 hr 44 min,2 stops,321 kg CO2,+28% emissions,$502,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
6:56 PM,12:21 PM+1,"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreSpirit, Frontier",14 hr 25 min,2 stops,336 kg CO2,+34% emissions,$517,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
5:21 PM,6:20 AM+1,Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreSpirit,9 hr 59 min,1 stop,281 kg CO2,+12% emissions,$534,round trip,https://www.google.com/travel/flights/search?tfs=CBwQAhoeagcIARIDU0VBEgoyMDIzLTA1LTE5cgcIARIDRVdSGh5qBwgBEgNFV1ISCjIwMjMtMDUtMzByBwgBEgNTRUFwAYIBCwj___________8BQAFIAZgBAQ&tfu=EgYIARABGAA&hl=en-US&curr=USD,Seattle-Tacoma International Airport,Newark Liberty International Airport
